 23.228724 -46.586224 632.239990	 176.952591 437.175110
 29.226097 -38.130993 629.582397	 154.795761 438.541321
 -2.228774 -27.388762 632.791687	 260.976379 456.083191
 24.899454 -18.570993 654.885986	 169.539917 538.977478
 25.874435 -35.833366 638.213135	 166.917389 467.687927
 39.260254 -10.417947 642.372742	 117.966972 506.216003
 17.532259 -39.970879 644.863342	 197.018143 485.166565
 17.498684 -50.812141 633.391357	 197.038132 435.468872
 -5.183048 -11.103070 639.588928	 266.867920 492.700317
 22.021257 -32.020138 645.785583	 180.505447 496.048584
 -3.239883 -14.549085 642.414001	 262.024078 500.221069
 18.996008 -21.421988 661.080566	 191.538849 556.608887
 34.079334 -21.855501 637.492371	 138.264954 479.182465
 15.290733 -44.255447 642.147095	 205.418839 472.017670
 17.968748 -10.022259 670.972412	 193.655151 598.318359
 15.110952 -46.431946 640.690125	 206.978485 465.108490
 -5.413405 -42.270206 617.912354	 273.072021 393.157257
 4.996041 -14.740340 650.984375	 235.719742 528.356812
 18.239058 -36.551216 647.236633	 194.696259 496.783569
 -0.890405 -12.911929 645.321472	 254.669937 511.532257
 28.018635 -22.479849 647.622559	 159.231323 510.855042
 -3.025251 -22.350218 635.091858	 262.995605 468.695251
 10.695056 -47.761818 596.752625	 216.057861 318.981079
 1.248267 -43.752659 625.354797	 252.260468 416.410522
 24.614269 -7.316619 664.398682	 169.987915 579.619934
 -1.831811 -45.946579 619.523987	 262.600220 395.062378
 32.875694 -51.600117 600.196899	 140.418945 326.621246
 17.270451 -52.476074 603.114197	 194.700943 334.171967
 1.105037 -33.362759 631.501343	 251.129776 445.619202
 32.433678 -28.757732 634.640503	 142.697128 463.926971
 8.207448 -19.094610 651.873962	 226.288086 527.567078
 13.146112 -48.212757 636.703918	 213.261551 449.693787
 30.527067 -53.639759 602.935669	 147.318253 332.785095
 10.144663 -37.226139 638.402710	 220.161530 465.735535
 5.139271 -59.500710 610.872009	 239.442612 354.413116
 19.163038 -11.707865 666.341003	 188.441818 581.203735
 40.800507 3.429864 652.100464	 112.375648 550.690796
 17.622787 -51.325558 601.387329	 193.299606 327.850189
 2.692039 -48.469463 623.296875	 247.642639 404.877869
 -6.943456 -20.842268 632.304199	 274.788940 459.825745
 38.152672 -0.765025 626.288086	 132.143082 414.462128
 1.707282 -24.488041 639.457581	 247.557526 481.791870
 27.279533 -53.141644 619.935852	 162.607727 388.615234
 18.612219 -15.374037 664.779480	 189.706650 572.920166
 18.435839 -24.802975 657.414001	 191.916656 540.522949
 37.489647 -37.660503 622.253418	 125.505196 414.604980
 25.703156 -23.630787 650.439941	 167.066284 519.974976
 17.396679 -50.285549 600.265320	 193.299606 327.850189
 28.746681 -46.336742 593.796143	 153.263504 311.444427
 -2.164597 -48.796299 599.147095	 260.070221 324.214478
 18.588419 -30.020025 654.112061	 192.162399 524.388733
 2.985299 0.037826 616.880371	 132.143082 414.462128
 -14.359954 -43.611553 602.342834	 194.423431 298.192993
 40.460072 -20.516283 633.121948	 113.753403 466.511169
 9.544118 -21.163580 651.374146	 188.934906 399.383789
 18.356361 -16.955940 663.925232	 191.466721 568.821777
 27.317358 -13.628503 655.535461	 160.641937 545.275940
 4.665380 -5.988025 657.717896	 236.951080 556.524170
 20.943846 -56.753414 627.291138	 185.362366 410.005066
 20.144396 -17.791092 661.312256	 187.222595 560.679016
 -1.085486 3.541218 656.382080	 252.545380 560.740356
 19.323692 -37.165363 582.404968	 275.018005 316.156433
 4.690456 -55.678555 620.777344	 116.148453 368.363007
 -2.795743 11.237374 636.176025	 90.684570 514.224976
 24.424713 -48.403160 596.579163	 169.344666 318.298370
 41.603359 -7.493424 640.514587	 108.679420 503.250183
 16.120787 -56.604660 629.517395	 202.974274 416.191711
 9.102953 -50.837643 600.259766	 226.781097 328.429993
 23.731939 -46.069836 631.742676	 167.519501 431.658142
 28.242615 -42.501415 588.608887	 151.848404 298.543976
 18.855328 -48.711296 598.034424	 188.265335 320.994690
 40.339367 -27.548992 626.189880	 114.657310 437.512146
 16.139063 -35.448307 650.321777	 202.707336 507.596222
 6.892030 -22.291992 647.877991	 231.066010 510.764008
 21.169531 -31.259367 648.479309	 183.600555 507.552368
 33.009998 -21.852102 640.005432	 141.030426 487.403503
 34.097183 -46.800858 618.177551	 137.075180 390.761047
 33.406540 -8.233374 651.611755	 138.741425 537.960022
 33.225483 -2.119971 620.043823	 284.740204 326.968353
 10.718007 -51.389313 601.377197	 217.858414 329.211823
 43.926064 -33.479641 615.542480	 101.493164 397.191620
 13.507374 -49.013481 598.970764	 207.813049 321.549957
 31.710306 -16.933413 646.794983	 145.079926 514.430115
 42.314835 -24.964481 613.603943	 195.462143 305.281891
