 22.021257 -32.020138 645.785583	 364.941101 473.346039
 17.498684 -50.812141 633.391357	 384.544373 412.922272
 24.899454 -18.570993 654.885986	 352.063293 516.901733
 17.532259 -39.970879 644.863342	 382.949463 462.413818
 25.874435 -35.833366 638.213135	 351.720947 445.187134
 1.248267 -43.752659 625.354797	 436.632996 393.623840
 -1.831811 -45.946579 619.523987	 446.673706 372.622681
 37.489647 -37.660503 622.253418	 309.620178 391.976440
 -5.183048 -11.103070 639.588928	 446.432831 469.951965
 8.110120 -21.932430 649.923584	 409.361145 495.449768
 32.273872 -1.166239 657.658813	 321.650177 541.294434
 17.739664 -43.268143 642.302612	 382.681549 450.552551
 18.435839 -24.802975 657.414001	 375.909973 517.907837
 18.239058 -36.551216 647.236633	 379.816559 474.157135
 15.290733 -44.255447 642.147095	 392.359070 449.468323
 -2.228774 -27.388762 632.791687	 442.504425 433.567749
 18.996008 -21.421988 661.080566	 374.395111 533.606873
 30.421236 -41.604210 625.017273	 334.823608 396.094604
 1.707282 -24.488041 639.457581	 429.413116 459.209412
 39.260254 -10.417947 642.372742	 298.748169 483.626160
 34.079334 -21.855501 637.492371	 320.855103 456.890961
 10.144663 -37.226139 638.402710	 405.356293 443.169312
 15.110952 -46.431946 640.690125	 393.372498 442.468689
 19.163038 -11.707865 666.341003	 370.155701 558.352600
 1.105037 -33.362759 631.501343	 433.795685 423.556824
 17.968748 -10.022259 670.972412	 375.328735 575.480286
 1.108862 -52.215538 601.856140	 434.907166 307.941986
 32.318924 -14.704214 648.227722	 324.689026 498.375427
 28.018635 -22.479849 647.622559	 342.426331 488.159393
 -7.660029 -23.446756 628.915100	 458.237549 426.269653
 8.207448 -19.094610 651.873962	 407.865417 504.681091
 -5.413405 -42.270206 617.912354	 456.378601 371.108673
 -3.025251 -22.350218 635.091858	 443.648071 446.051636
 5.792093 -8.603136 656.680847	 412.958954 529.552856
 27.317358 -13.628503 655.535461	 342.452026 522.646118
 13.146112 -48.212757 636.703918	 400.547424 426.965942
 5.139271 -59.500710 610.872009	 426.434387 331.664917
 28.994892 -47.643661 596.812500	 338.521973 298.520508
 40.460072 -20.516283 633.121948	 296.134888 443.729126
 28.746681 -46.336742 593.796143	 337.529053 289.475067
 40.800507 3.429864 652.100464	 291.279022 528.462952
 2.692039 -48.469463 623.296875	 432.796143 382.458923
 24.614269 -7.316619 664.398682	 350.220795 556.366821
 32.433678 -28.757732 634.640503	 326.126953 441.484924
 -0.890405 -12.911929 645.321472	 434.398621 488.944946
 17.270451 -52.476074 603.114197	 380.345520 311.975433
 32.219898 -33.075451 631.392517	 328.205963 426.761658
 25.703156 -23.630787 650.439941	 350.758728 497.458801
 -0.450090 -18.662796 641.860168	 434.595032 472.432922
 20.943846 -56.753414 627.291138	 373.873962 387.378235
 18.588419 -30.020025 654.112061	 376.470520 501.592743
 4.996041 -14.740340 650.984375	 415.898926 506.389130
 33.225483 -2.119971 620.043823	 468.367737 305.326996
 38.152672 -0.765025 626.288086	 316.369812 392.246429
 9.102953 -50.837643 600.259766	 411.451477 306.114258
 -12.643321 -49.804855 600.924133	 389.514404 261.974579
 41.285027 -24.804251 627.779053	 294.487152 423.564850
 16.620178 -15.808825 664.998840	 380.530823 551.191406
 2.985299 0.037826 616.880371	 316.369812 392.246429
 33.009998 -21.852102 640.005432	 323.950989 465.163147
 40.339367 -27.548992 626.189880	 298.154266 415.275055
 18.855328 -48.711296 598.034424	 373.197540 299.659546
 -10.031183 -20.804867 617.148193	 275.125366 533.936035
 24.424713 -48.403160 596.579163	 354.357056 296.276733
 2.068969 16.836086 634.977478	 459.738647 304.468719
 30.527067 -53.639759 602.935669	 332.813812 310.749207
 15.423764 -51.335335 601.038025	 386.838074 307.183105
 16.139063 -35.448307 650.321777	 388.004639 484.571167
 -8.144971 -2.085969 645.022705	 402.055206 302.170685
 24.508865 -5.567260 666.571350	 351.078033 566.214722
 10.718007 -51.389313 601.377197	 402.643494 306.990845
 20.160120 -58.986015 625.037231	 377.479706 377.217041
 34.097183 -46.800858 618.177551	 323.428864 368.006165
 44.056114 -34.165615 615.784302	 285.493622 375.189453
 -6.664647 -47.781792 597.635742	 481.598083 304.562958
 -6.943456 -20.842268 632.304199	 454.797546 436.708923
 -5.152446 -20.936197 631.819214	 448.641296 436.550018
 41.128620 -49.441048 596.647156	 402.185455 511.800690
 1.378321 -56.548130 607.728149	 437.013947 322.526062
 10.647880 -12.759775 657.626099	 396.824921 529.192261
 -7.262641 -35.836342 620.367676	 459.346436 384.661102
 30.939331 -53.967869 603.634033	 332.813812 310.749207
 20.709240 -29.424580 649.790100	 368.198669 487.497131
 25.323193 -10.933064 660.437988	 349.043671 542.623779
 32.394154 -36.554615 627.739136	 328.151794 409.760376
 25.376320 -33.359787 640.126526	 361.165649 464.018677
 18.573544 -42.925156 588.856689	 370.187592 276.737762
 -0.343411 -15.435238 612.381653	 456.952393 276.544006
 -1.752758 -48.925930 598.497253	 306.393555 277.388275
 6.812127 -57.340359 608.603699	 422.309082 311.201599
 38.893044 0.390163 629.354980	 316.928131 383.808472
 36.059902 -40.786057 594.106873	 333.514038 305.212708
 8.460331 -38.092743 585.548767	 449.836304 539.987061
 1.190890 13.835061 632.785706	 285.128540 545.407776
 -5.298651 -54.870178 605.771790	 309.917603 457.632568
 -3.429439 -6.754325 621.004333	 416.027527 361.807922
 28.527374 24.681421 634.512146	 447.073181 350.954468
 28.242615 -42.501415 588.608887	 335.033966 276.551819
 -1.085486 3.541218 656.382080	 430.333740 538.024292
 32.539505 -1.607404 618.704163	 429.156677 289.945435
